Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2010/6/18,1117.51,,,1116.16,,,1121.01,,,1113.93,,
2010/6/17,1116.04,,,1115.98,,,1117.72,,,1105.87,,
2010/6/16,1114.61,,,1114.02,,,1118.74,,,1107.13,,
2010/6/15,1115.23,,,1091.21,,,1115.59,,,1091.21,,
2010/6/14,1089.63,,,1095,,,1105.91,,,1089.03,,
2010/6/11,1091.6,,,1082.65,,,1092.25,,,1077.12,,
2010/6/10,1086.84,,,1058.77,,,1087.85,,,1058.77,,
2010/6/9,1055.69,,,1062.75,,,1077.74,,,1052.25,,
2010/6/8,1062,,,1050.81,,,1063.15,,,1042.17,,
2010/6/7,1050.47,,,1065.84,,,1071.36,,,1049.86,,
2010/6/4,1064.88,,,1098.43,,,1098.43,,,1060.5,,
2010/6/3,1102.83,,,1098.82,,,1105.67,,,1091.81,,
2010/6/2,1098.38,,,1073.01,,,1098.56,,,1072.03,,
2010/6/1,1070.71,,,1087.3,,,1094.77,,,1069.89,,
2010/5/28,1089.41,,,1102.59,,,1102.59,,,1084.78,,
2010/5/27,1103.06,,,1074.27,,,1103.52,,,1074.27,,
2010/5/26,1067.95,,,1075.51,,,1090.75,,,1065.59,,
2010/5/25,1074.03,,,1067.42,,,1074.75,,,1040.78,,
2010/5/24,1073.65,,,1084.78,,,1089.95,,,1072.7,,
2010/5/21,1087.69,,,1067.26,,,1090.16,,,1055.9,,
2010/5/20,1071.59,,,1107.34,,,1107.34,,,1071.58,,
2010/5/19,1115.05,,,1119.57,,,1124.27,,,1100.66,,
2010/5/18,1120.8,,,1138.78,,,1148.66,,,1117.2,,
2010/5/17,1136.94,,,1136.52,,,1141.88,,,1114.96,,
2010/5/14,1135.68,,,1157.19,,,1157.19,,,1126.14,,
2010/5/13,1157.44,,,1170.04,,,1173.57,,,1156.14,,
2010/5/12,1171.67,,,1155.43,,,1172.87,,,1155.43,,
2010/5/11,1155.79,,,1156.39,,,1170.48,,,1147.71,,
2010/5/10,1159.73,,,1122.27,,,1163.85,,,1122.27,,
2010/5/7,1110.88,,,1127.04,,,1135.13,,,1094.15,,
2010/5/6,1128.15,,,1164.38,,,1167.58,,,1065.79,,
2010/5/5,1165.9,,,1169.24,,,1175.95,,,1158.15,,
2010/5/4,1173.6,,,1197.5,,,1197.5,,,1168.12,,
2010/5/3,1202.26,,,1188.58,,,1205.13,,,1188.58,,
2010/4/30,1186.69,,,1206.77,,,1207.99,,,1186.32,,
2010/4/29,1206.78,,,1193.3,,,1209.36,,,1193.3,,
2010/4/28,1191.36,,,1184.59,,,1195.05,,,1181.81,,
2010/4/27,1183.71,,,1209.92,,,1211.38,,,1181.62,,
2010/4/26,1212.05,,,1217.07,,,1219.8,,,1211.07,,
2010/4/23,1217.28,,,1207.87,,,1217.28,,,1205.1,,
2010/4/22,1208.67,,,1202.52,,,1210.27,,,1190.19,,
2010/4/21,1205.94,,,1207.16,,,1210.99,,,1198.85,,
2010/4/20,1207.17,,,1199.04,,,1208.58,,,1199.04,,
2010/4/19,1197.52,,,1192.06,,,1197.87,,,1183.68,,
2010/4/16,1192.13,,,1210.17,,,1210.17,,,1186.77,,
2010/4/15,1211.67,,,1210.77,,,1213.92,,,1208.5,,
2010/4/14,1210.65,,,1198.69,,,1210.65,,,1198.69,,
2010/4/13,1197.3,,,1195.94,,,1199.04,,,1188.82,,
2010/4/12,1196.48,,,1194.94,,,1199.2,,,1194.71,,
2010/4/9,1194.37,,,1187.47,,,1194.66,,,1187.15,,
2010/4/8,1186.44,,,1181.75,,,1188.55,,,1175.12,,
2010/4/7,1182.45,,,1188.23,,,1189.6,,,1177.25,,
2010/4/6,1189.44,,,1186.01,,,1191.8,,,1182.77,,
2010/4/5,1187.44,,,1178.71,,,1187.73,,,1178.71,,
2010/4/1,1178.1,,,1171.23,,,1181.43,,,1170.69,,
2010/3/31,1169.43,,,1171.75,,,1174.56,,,1165.77,,
2010/3/30,1173.27,,,1173.75,,,1177.83,,,1168.92,,
2010/3/29,1173.22,,,1167.71,,,1174.85,,,1167.71,,
2010/3/26,1166.59,,,1167.58,,,1173.93,,,1161.48,,
2010/3/25,1165.73,,,1170.03,,,1180.69,,,1165.09,,
2010/3/24,1167.72,,,1172.7,,,1173.04,,,1166.01,,
2010/3/23,1174.17,,,1166.47,,,1174.72,,,1163.83,,
2010/3/22,1165.81,,,1157.25,,,1167.82,,,1152.88,,
2010/3/19,1159.9,,,1166.68,,,1169.2,,,1155.33,,
2010/3/18,1165.83,,,1166.13,,,1167.77,,,1161.16,,
2010/3/17,1166.21,,,1159.94,,,1169.84,,,1159.94,,
2010/3/16,1159.46,,,1150.83,,,1160.28,,,1150.35,,
2010/3/15,1150.51,,,1148.53,,,1150.98,,,1141.45,,
2010/3/12,1149.99,,,1151.71,,,1153.41,,,1146.97,,
2010/3/11,1150.24,,,1143.96,,,1150.24,,,1138.99,,
2010/3/10,1145.61,,,1140.22,,,1148.26,,,1140.09,,
2010/3/9,1140.45,,,1137.56,,,1145.37,,,1134.9,,
2010/3/8,1138.51,,,1138.4,,,1141.05,,,1136.77,,
2010/3/5,1138.7,,,1125.12,,,1139.38,,,1125.12,,
2010/3/4,1122.97,,,1119.12,,,1123.73,,,1116.66,,
2010/3/3,1118.79,,,1119.36,,,1125.64,,,1116.58,,
2010/3/2,1118.31,,,1117.01,,,1123.46,,,1116.51,,
2010/3/1,1115.71,,,1105.36,,,1116.11,,,1105.36,,
2010/2/26,1104.49,,,1103.1,,,1107.24,,,1097.56,,
2010/2/25,1102.94,,,1101.24,,,1103.5,,,1086.02,,
2010/2/24,1105.24,,,1095.89,,,1106.42,,,1095.5,,
2010/2/23,1094.6,,,1107.49,,,1108.58,,,1092.18,,
2010/2/22,1108.02,,,1110,,,1112.29,,,1105.38,,
2010/2/19,1109.17,,,1105.49,,,1112.42,,,1100.8,,
2010/2/18,1106.75,,,1099.03,,,1108.24,,,1097.48,,
2010/2/17,1099.51,,,1096.14,,,1101.03,,,1094.72,,
2010/2/16,1094.87,,,1079.13,,,1095.67,,,1079.13,,
2010/2/12,1075.51,,,1075.95,,,1077.81,,,1062.97,,
2010/2/11,1078.47,,,1067.1,,,1080.04,,,1060.59,,
2010/2/10,1068.13,,,1069.68,,,1073.67,,,1059.34,,
2010/2/9,1070.52,,,1060.06,,,1079.28,,,1060.06,,
2010/2/8,1056.74,,,1065.51,,,1071.2,,,1056.51,,
2010/2/5,1066.19,,,1064.12,,,1067.13,,,1044.5,,
2010/2/4,1063.11,,,1097.25,,,1097.25,,,1062.78,,
2010/2/3,1097.28,,,1100.67,,,1102.72,,,1093.97,,
2010/2/2,1103.32,,,1090.05,,,1104.73,,,1087.96,,
2010/2/1,1089.19,,,1073.89,,,1089.38,,,1073.89,,
2010/1/29,1073.87,,,1087.61,,,1096.45,,,1071.59,,
